# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       2.725702743098e+08       1.017502332024e-14       1.700663651718e-03       1.602733813219e+11       1.415848624908e+04       5.194435171990e-05       3.859182494881e+12       9.818779881058e-04       1.518773613293e+22       5.189051853954e+16       2.253170583567e+03       2.638688070415e+17       7.428899090980e+08       0.000000000000e+00       2.690698059886e+07       1.387811330537e+07       1.061854450751e-04       3.892252110638e-08       1.049950486808e+22       2.568755676034e+22       2.568755676034e+22       8.562413667006e+21      -2.013905572246e+25       1.494064167180e-04       7.513123201842e-02 
       2.696561120410e+08       1.039613330715e-14       1.719042595141e-03       1.568646131465e+11       1.415848623070e+04       5.250571207540e-05       3.817922363515e+12       9.924890623860e-04       1.454856478362e+22       5.024389997817e+16       2.181671731575e+03       2.554955764847e+17       7.349473638309e+08       0.000000000000e+00       2.591350663318e+07       1.336569816422e+07       1.050635201733e-04       3.892252110638e-08       1.005763633449e+22       2.460650685759e+22       2.460650685759e+22       8.202067039372e+21      -1.908525727265e+25       1.495270751229e-04       7.507080031182e-02 
       2.667731062940e+08       1.062204815312e-14       1.737620157655e-03       1.535283443346e+11       1.415848621212e+04       5.307313902717e-05       3.777103361387e+12       1.003214809231e-03       1.393629277008e+22       4.864953282540e+16       2.112441720599e+03       2.473880498994e+17       7.270897356239e+08       0.000000000000e+00       2.495671424603e+07       1.287220268970e+07       1.039531011467e-04       3.892252110638e-08       9.634363706464e+21       2.357095251413e+22       2.357095251413e+22       7.856885492181e+21      -1.808660000968e+25       1.496477338417e-04       7.501046815707e-02 
       2.639209239615e+08       1.085287226216e-14       1.756398485668e-03       1.502630329329e+11       1.415848619335e+04       5.364669813662e-05       3.736720772202e+12       1.014056467870e-03       1.334978804177e+22       4.710575901070e+16       2.045408554524e+03       2.395377958204e+17       7.193161166026e+08       0.000000000000e+00       2.403524906073e+07       1.239692831985e+07       1.028540946966e-04       3.892252110638e-08       9.228904380853e+21       2.257897906618e+22       2.257897906618e+22       7.526230807541e+21      -1.714019860849e+25       1.497683928781e-04       7.495023533712e-02 
       2.610992354975e+08       1.108871233986e-14       1.775379749233e-03       1.470671697829e+11       1.415848617436e+04       5.422645567369e-05       3.696769930086e+12       1.025015290975e-03       1.278796619018e+22       4.561097307836e+16       1.980502521857e+03       2.319366503347e+17       7.116256085633e+08       0.000000000000e+00       2.314780670675e+07       1.193920228496e+07       1.017663626883e-04       3.892252110638e-08       8.840508690136e+21       2.162875242794e+22       2.162875242794e+22       7.209491626772e+21      -1.624331872197e+25       1.498890522358e-04       7.489010164017e-02 
       2.583077148793e+08       1.132967736585e-14       1.794566142053e-03       1.439392778238e+11       1.415848615518e+04       5.481247862449e-05       3.657246219053e+12       1.036092544688e-03       1.224978844380e+22       4.416362051788e+16       1.917656123225e+03       2.245767085909e+17       7.040173229535e+08       0.000000000000e+00       2.229313097538e+07       1.149837665624e+07       1.006898285637e-04       3.892252110638e-08       8.468458516324e+21       2.071851570045e+22       2.071851570045e+22       6.906082320040e+21      -1.539336908082e+25       1.500097119186e-04       7.483006684975e-02 
       2.555460395701e+08       1.157587871055e-14       1.813959879655e-03       1.408779114099e+11       1.415848613578e+04       5.540483469905e-05       3.618145072466e+12       1.047289508865e-03       1.173425974749e+22       4.276219614732e+16       1.856804001186e+03       2.174503165789e+17       6.964903806967e+08       0.000000000000e+00       2.147001203975e+07       1.107382742782e+07       9.962438554191e-05       3.892252110638e-08       8.112065963208e+21       1.984658592321e+22       1.984658592321e+22       6.615441903567e+21      -1.458789400687e+25       1.501303719301e-04       7.477013075309e-02 
       2.528138904811e+08       1.182743017730e-14       1.833563203036e-03       1.378816556419e+11       1.415848611618e+04       5.600359233914e-05       3.579461972513e+12       1.058607477216e-03       1.124042692275e+22       4.140524254803e+16       1.797882872255e+03       2.105500631698e+17       6.890439121023e+08       0.000000000000e+00       2.067728474260e+07       1.066495363353e+07       9.856991344270e-05       3.892252110638e-08       7.770672084488e+21       1.901135096254e+22       1.901135096254e+22       6.337033002413e+21      -1.382456631811e+25       1.502510322743e-04       7.471029314006e-02 
       2.501109519353e+08       1.208444800511e-14       1.853378376836e-03       1.349491257134e+11       1.415848609637e+04       5.660882072617e-05       3.541192449683e+12       1.070047757372e-03       1.076737690528e+22       4.009134854896e+16       1.740831461092e+03       2.038687724085e+17       6.816770568144e+08       0.000000000000e+00       1.991382694802e+07       1.027117649685e+07       9.752633444335e-05       3.892252110638e-08       7.443645665420e+21       1.821126653082e+22       1.821126653082e+22       6.070340856899e+21      -1.310118060496e+25       1.503716929551e-04       7.465055379703e-02 
       2.474369116305e+08       1.234705099966e-14       1.873407691164e-03       1.320789662710e+11       1.415848607634e+04       5.722058978919e-05       3.503332082251e+12       1.081611671159e-03       1.031423505683e+22       3.881914775912e+16       1.685590436783e+03       1.973994960517e+17       6.743889636369e+08       0.000000000000e+00       1.917855795137e+07       9.891938610687e+06       9.649352747536e-05       3.892252110638e-08       7.130382055747e+21       1.744485333122e+22       1.744485333122e+22       5.814872370858e+21      -1.241564685844e+25       1.504923539762e-04       7.459091251600e-02 
       2.447914606037e+08       1.261536052690e-14       1.893653459774e-03       1.292698507874e+11       1.415848605609e+04       5.783897021298e-05       3.465876495766e+12       1.093300554652e-03       9.880163548032e+21       3.758731714659e+16       1.632102351133e+03       1.911355063412e+17       6.671787904941e+08       0.000000000000e+00       1.847043695082e+07       9.526703149075e+06       9.547139466198e-05       3.892252110638e-08       6.830302051737e+21       1.671069432259e+22       1.671069432259e+22       5.570155199923e+21      -1.176598443163e+25       1.506130153418e-04       7.453136908765e-02 
       2.421742931950e+08       1.288950057424e-14       1.914118021887e-03       1.265204809486e+11       1.415848603563e+04       5.846403344620e-05       3.428821362547e+12       1.105115758346e-03       9.464359809335e+21       3.639457566264e+16       1.580311578925e+03       1.850702890079e+17       6.600457043267e+08       0.000000000000e+00       1.778846157381e+07       9.174953107153e+06       9.445985218583e-05       3.892252110638e-08       6.542850825274e+21       1.600743209947e+22       1.600743209947e+22       5.335736878203e+21      -1.115031631726e+25       1.507336770558e-04       7.447192330179e-02 
       2.395851070124e+08       1.316959787535e-14       1.934803742188e-03       1.238295860540e+11       1.415848601494e+04       5.909585170965e-05       3.392162401181e+12       1.117058647401e-03       9.066055047075e+21       3.523968290948e+16       1.530164260073e+03       1.791975364971e+17       6.529888809382e+08       0.000000000000e+00       1.713166645707e+07       8.836190568746e+06       9.345877137513e-05       3.892252110638e-08       6.267496898018e+21       1.533376638231e+22       1.533376638231e+22       5.111183981698e+21      -1.056686372455e+25       1.508543391222e-04       7.441257495482e-02 
       2.370236028970e+08       1.345578186182e-14       1.955713010830e-03       1.211959224288e+11       1.415848599403e+04       5.973449800461e-05       3.355895376031e+12       1.129130601651e-03       8.684512822042e+21       3.412143785029e+16       1.481608243608e+03       1.735111414089e+17       6.460075049902e+08       0.000000000000e+00       1.649912188189e+07       8.509936002471e+06       9.246807213759e-05       3.892252110638e-08       6.003731158737e+21       1.468845161336e+22       1.468845161336e+22       4.896081326926e+21      -1.001394094001e+25       1.509750015452e-04       7.435332383825e-02 
       2.344894848883e+08       1.374818479599e-14       1.976848243430e-03       1.186182728491e+11       1.415848597290e+04       6.038004612129e-05       3.320016096742e+12       1.141333015869e-03       8.319027687853e+21       3.303867756023e+16       1.434593033445e+03       1.680051901467e+17       6.391007698467e+08       0.000000000000e+00       1.588993245684e+07       8.195727582310e+06       9.148765872926e-05       3.892252110638e-08       5.751065921993e+21       1.407029465371e+22       1.407029465371e+22       4.690031203282e+21      -9.489950457000e+24       1.510956643290e-04       7.429416974635e-02 
       2.319824601901e+08       1.404694184529e-14       1.998211882892e-03       1.160954459800e+11       1.415848595153e+04       6.103257064735e-05       3.284520417762e+12       1.153667299940e-03       7.968923886624e+21       3.199027601704e+16       1.389069735868e+03       1.626739567675e+17       6.322678774717e+08       0.000000000000e+00       1.530323585018e+07       7.893120533811e+06       9.051741399956e-05       3.892252110638e-08       5.509034026445e+21       1.347815257730e+22       1.347815257730e+22       4.492652637690e+21      -8.993378360247e+24       1.512163274776e-04       7.423511247759e-02 
       2.295022391364e+08       1.435219106203e-14       2.019806395765e-03       1.136262758242e+11       1.415848592994e+04       6.169214697652e-05       3.249404237861e+12       1.166134878917e-03       7.633554099542e+21       3.097514293000e+16       1.344991008684e+03       1.575118970270e+17       6.255080384010e+08       0.000000000000e+00       1.473820157037e+07       7.601686505087e+06       8.955725857040e-05       3.892252110638e-08       5.277187971097e+21       1.291093055768e+22       1.291093055768e+22       4.303580690213e+21      -8.522789951804e+24       1.513369909954e-04       7.417615182620e-02 
       2.270485351584e+08       1.466407353511e-14       2.041634277703e-03       1.112096211835e+11       1.415848590811e+04       6.235885131727e-05       3.214663499656e+12       1.178737193300e-03       7.312298250010e+21       2.999222260611e+16       1.302311011989e+03       1.525136426140e+17       6.188204715841e+08       0.000000000000e+00       1.419402978921e+07       7.321012959844e+06       8.860708841688e-05       3.892252110638e-08       5.055099087900e+21       1.236757984378e+22       1.236757984378e+22       4.122465779303e+21      -8.076825605928e+24       1.514576548866e-04       7.411728759086e-02 
       2.246210647510e+08       1.498273341939e-14       2.063698051643e-03       1.088443651313e+11       1.415848588605e+04       6.303276070170e-05       3.180294189144e+12       1.191475699157e-03       7.004562357174e+21       2.904049285220e+16       1.260985360495e+03       1.476739955676e+17       6.122044043208e+08       0.000000000000e+00       1.366995021024e+07       7.050702593680e+06       8.766680103654e-05       3.892252110638e-08       4.842356749171e+21       1.184709582083e+22       1.184709582083e+22       3.948973035449e+21      -7.654196840833e+24       1.515783191556e-04       7.405851957134e-02 
       2.222195474401e+08       1.530831796414e-14       2.086000265990e-03       1.065294144964e+11       1.415848586374e+04       6.371395299437e-05       3.146292335237e+12       1.204351868241e-03       6.709777437685e+21       2.811896391189e+16       1.220971077372e+03       1.429879228711e+17       6.056590721985e+08       0.000000000000e+00       1.316522097868e+07       6.790372771896e+06       8.673631642757e-05       3.892252110638e-08       4.638567608372e+21       1.134851615294e+22       1.134851615294e+22       3.782781682019e+21      -7.253682596007e+24       1.516989838069e-04       7.399984756482e-02 
       2.198437057504e+08       1.564097768068e-14       2.108543496433e-03       1.042636993577e+11       1.415848584120e+04       6.440250690129e-05       3.112654009303e+12       1.217367188288e-03       6.427398453689e+21       2.722667743630e+16       1.182226549557e+03       1.384505512186e+17       5.991837189359e+08       0.000000000000e+00       1.267912763029e+07       6.539654987299e+06       8.581552087665e-05       3.892252110638e-08       4.443354872836e+21       1.087091900375e+22       1.087091900375e+22       3.623584442175e+21      -6.874125704314e+24       1.518196488447e-04       7.394127137499e-02 
       2.174932651732e+08       1.598086629880e-14       2.131330349584e-03       1.020461725498e+11       1.415848581841e+04       6.509850197910e-05       3.079375324713e+12       1.230523163048e-03       6.156903305087e+21       2.636270548742e+16       1.144711484473e+03       1.340571619467e+17       5.927775963711e+08       0.000000000000e+00       1.221098208117e+07       6.298194339188e+06       8.490432941575e-05       3.892252110638e-08       4.256357607103e+21       1.041342133206e+22       1.041342133206e+22       3.471086970730e+21      -6.514429548699e+24       1.519403142737e-04       7.388279080204e-02 
       2.151679541345e+08       1.632814089117e-14       2.154363457521e-03       9.987580917879e+10       1.415848579538e+04       6.580201864415e-05       3.046452436392e+12       1.243821312522e-03       5.897791864208e+21       2.552614957306e+16       1.108386868131e+03       1.298031861268e+17       5.864399643395e+08       0.000000000000e+00       1.176012165319e+07       6.065649030678e+06       8.400265528994e-05       3.892252110638e-08       4.077230065574e+21       9.975177259118e+21       9.975177259118e+21       3.325007309927e+21      -6.173554893838e+24       1.520609800984e-04       7.382440564723e-02 
       2.128675039640e+08       1.668296199728e-14       2.177645481424e-03       9.775160614893e+10       1.415848577210e+04       6.651313818187e-05       3.013881540374e+12       1.257263173206e-03       5.649585051105e+21       2.471613971248e+16       1.073214924554e+03       1.256841998145e+17       5.801700905577e+08       0.000000000000e+00       1.132590813551e+07       5.841689884650e+06       8.311038824596e-05       3.892252110638e-08       3.905641053251e+21       9.555376504696e+21       9.555376504696e+21       3.185075368119e+21      -5.850516883575e+24       1.521816463233e-04       7.376611571737e-02 
       2.105916488638e+08       1.704549357689e-14       2.201179109761e-03       9.567258169873e+10       1.415848574856e+04       6.723194275615e-05       2.981658873363e+12       1.270850298112e-03       5.411823947768e+21       2.393183353167e+16       1.039159076495e+03       1.216959194483e+17       5.739672506115e+08       0.000000000000e+00       1.090772688223e+07       5.625999878338e+06       8.222744914361e-05       3.892252110638e-08       3.741273313380e+21       9.153242888901e+21       9.153242888901e+21       3.051032420383e+21      -5.544382195464e+24       1.523023129532e-04       7.370792081457e-02 
       2.083401258778e+08       1.741590318394e-14       2.224967063739e-03       9.363777494733e+10       1.415848572478e+04       6.795851541879e-05       2.949780712297e+12       1.284584257076e-03       5.184068949613e+21       2.317241538728e+16       1.006183907394e+03       1.178341973949e+17       5.678307278137e+08       0.000000000000e+00       1.050498594148e+07       5.418273694127e+06       8.135374551760e-05       3.892252110638e-08       3.583822940861e+21       8.768032897087e+21       8.768032897087e+21       2.922630630158e+21      -5.254266344216e+24       1.524229799927e-04       7.364982074444e-02 
