# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       1.099884585658e+10       6.250309693334e-18       4.215530316287e-05       2.609125620874e+14       1.433552178724e+04       1.303366005204e-06       1.576741944258e+14       2.433837472581e-05       4.023915162068e+28       3.351786626225e+21       1.480471124658e+08       1.684776139860e+22       2.997175915957e+10       0.000000000000e+00       1.222591693473e+17       2.202685017294e+13      -5.106187123314e+04       3.828010583277e-08       2.783619323480e+28       6.807536505503e+28       6.807536505503e+28       2.269178161849e+28      -2.153160779622e+33       1.108411527840e-04       1.040032432966e-01 
       1.088125261732e+10       6.386133200156e-18       4.261087269697e-05       2.553633368591e+14       1.433552178678e+04       1.317451426745e-06       1.559884339775e+14       2.460139846824e-05       3.854569891572e+28       3.245425883881e+21       1.433491998180e+08       1.631313893929e+22       2.965131860184e+10       0.000000000000e+00       1.164861893448e+17       2.098675995928e+13      -4.865178035016e+04       3.828010583277e-08       2.666471533752e+28       6.521043381180e+28       6.521043381180e+28       2.173680475108e+28      -2.040494119048e+33       1.109650653020e-04       1.038871095722e-01 
       1.076491661633e+10       6.524908248394e-18       4.307136623538e-05       2.499321354680e+14       1.433552178632e+04       1.331689068844e-06       1.543206966958e+14       2.486726469671e-05       3.692351466321e+28       3.142440239290e+21       1.388003639262e+08       1.579548141480e+22       2.933430400751e+10       0.000000000000e+00       1.109858048314e+17       1.999578197197e+13      -4.635540200844e+04       3.828010583277e-08       2.554253873844e+28       6.246607233957e+28       6.246607233957e+28       2.082201780055e+28      -1.933722873529e+33       1.110889778256e-04       1.037712349770e-01 
       1.064982441196e+10       6.666699018647e-18       4.353683652880e-05       2.446164477211e+14       1.433552178586e+04       1.346080576542e-06       1.526707898875e+14       2.513600413253e-05       3.536959955157e+28       3.042722591988e+21       1.343958742044e+08       1.529425048446e+22       2.902067874503e+10       0.000000000000e+00       1.057451440379e+17       1.905159716587e+13      -4.416887282195e+04       3.828010583277e-08       2.446758860714e+28       5.983720649568e+28       5.983720649568e+28       1.994572938624e+28      -1.832538558563e+33       1.112128903549e-04       1.036556186595e-01 
       1.053596270624e+10       6.811570992682e-18       4.400733814691e-05       2.394138168135e+14       1.433552178539e+04       1.360627612656e-06       1.510385229197e+14       2.540764782299e-05       3.388108049434e+28       2.946169240083e+21       1.301311501803e+08       1.480892489052e+22       2.871040658153e+10       0.000000000000e+00       1.007519430547e+17       1.815199601098e+13      -4.208511889826e+04       3.828010583277e-08       2.343787743179e+28       5.731897568122e+28       5.731897568122e+28       1.910631930871e+28      -1.736648831459e+33       1.113368028899e-04       1.035402597417e-01 
       1.042331834342e+10       6.959591098739e-18       4.448292384041e-05       2.343218381930e+14       1.433552178491e+04       1.375331857977e-06       1.494237071975e+14       2.568222715245e-05       3.245520531807e+28       2.852679772408e+21       1.260017567318e+08       1.433899991608e+22       2.840345166962e+10       0.000000000000e+00       9.599451704394e+16       1.729487330593e+13      -4.009844209632e+04       3.828010583277e-08       2.245150134440e+28       5.490672385415e+28       5.490672385415e+28       1.830223555416e+28      -1.645776646700e+33       1.114607154307e-04       1.034251573568e-01 
       1.031187830837e+10       7.110827793412e-18       4.496364817896e-05       2.293381584485e+14       1.433552178443e+04       1.390195011457e-06       1.478261561423e+14       2.595977384904e-05       3.108933767370e+28       2.762156964097e+21       1.220033994742e+08       1.388398686017e+22       2.809977854002e+10       0.000000000000e+00       9.146173287320e+16       1.647822324747e+13      -3.820568929046e+04       3.828010583277e-08       2.150663660072e+28       5.259599092056e+28       5.259599092056e+28       1.753199142480e+28      -1.559659455503e+33       1.115846279773e-04       1.033103106640e-01 
       1.020162972511e+10       7.265351010338e-18       4.544956755126e-05       2.244604742226e+14       1.433552178395e+04       1.405218790411e-06       1.462456851705e+14       2.624031998314e-05       2.978095216211e+28       2.674506675479e+21       1.181319202950e+08       1.344341252957e+22       2.779935210351e+10       0.000000000000e+00       8.714298311683e+16       1.570013474641e+13      -3.640336923154e+04       3.828010583277e-08       2.060153620821e+28       5.038250448824e+28       5.038250448824e+28       1.679416279011e+28      -1.478048447255e+33       1.117085405299e-04       1.031957188237e-01 
       1.009255985535e+10       7.423232114045e-18       4.594074016495e-05       2.196865311469e+14       1.433552178346e+04       1.420404930710e-06       1.446821116716e+14       2.652389796623e-05       2.852762966489e+28       2.589637754175e+21       1.143832930289e+08       1.301681874669e+22       2.750213765189e+10       0.000000000000e+00       8.302816126960e+16       1.495878696202e+13      -3.468573663424e+04       3.828010583277e-08       1.973452669601e+28       4.826217196736e+28       4.826217196736e+28       1.608738545363e+28      -1.400707830653e+33       1.118324530885e-04       1.030813809741e-01 
       9.984656096973e+09       7.584544041979e-18       4.643721877073e-05       2.150141228000e+14       1.433552178296e+04       1.435755186988e-06       1.431352549878e+14       2.681054056144e-05       2.732705287149e+28       2.507461940303e+21       1.107536192713e+08       1.260376187308e+22       2.720810084642e+10       0.000000000000e+00       7.910763803271e+16       1.425244502955e+13      -3.304808195146e+04       3.828010583277e-08       1.890400502076e+28       4.623107300347e+28       4.623107300347e+28       1.541035263075e+28      -1.327414152446e+33       1.119563656531e-04       1.029672962636e-01 
