# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 1142       1.278587432586e+03       1.407745369661e+01       9.331167927548e-02      -3.812092731137e+01       4.119695815061e-09      -5.036942594097e-07       1.372641875008e-07 
 1143       1.277519004045e+03       1.401598842400e+01       9.331367994437e-02      -3.718128006683e+01       4.112583196038e-09      -4.981309158992e-07       1.322456801384e-07 
 1144       1.276368966042e+03       1.395934674953e+01       9.331466669773e-02      -3.624117453312e+01       4.105487957044e-09      -4.921824606916e-07       1.272504736307e-07 
 1145       1.275137724537e+03       1.390751976315e+01       9.331463279998e-02      -3.530102013037e+01       4.098410082121e-09      -4.858607674240e-07       1.222779769409e-07 
 1146       1.273825690412e+03       1.386049835502e+01       9.331357148992e-02      -3.436122908899e+01       4.091349549174e-09      -4.791778544154e-07       1.173275907187e-07 
 1147       1.272433279481e+03       1.381827321503e+01       9.331147598069e-02      -3.342221645570e+01       4.084306329913e-09      -4.721458853270e-07       1.123987072607e-07 
 1148       1.270960912503e+03       1.378083483225e+01       9.330833945973e-02      -3.248440009962e+01       4.077280389794e-09      -4.647771698228e-07       1.074907104699e-07 
 1149       1.269409015196e+03       1.374817349436e+01       9.330415508872e-02      -3.154820071830e+01       4.070271687962e-09      -4.570841642330e-07       1.026029758159e-07 
 1150       1.267778018246e+03       1.372027928716e+01       9.329891600357e-02      -3.061404184384e+01       4.063280177184e-09      -4.490794722169e-07       9.773487029450e-08 
 1151       1.266068357323e+03       1.369714209400e+01       9.329261531433e-02      -2.968234984894e+01       4.056305803797e-09      -4.407758454282e-07       9.288575238758e-08 
 1152       1.264280473089e+03       1.367875159524e+01       9.328524610519e-02      -2.875355395296e+01       4.049348507642e-09      -4.321861841807e-07       8.805497202259e-08 
 1153       1.262414811214e+03       1.366509726775e+01       9.327680143441e-02      -2.782808622801e+01       4.042408222006e-09      -4.233235381158e-07       8.324187053222e-08 
 1154       1.260471822386e+03       1.365616838433e+01       9.326727433427e-02      -2.690638160501e+01       4.035484873560e-09      -4.142011068703e-07       7.844578061387e-08 
 1155       1.258451962323e+03       1.365195401319e+01       9.325665781104e-02      -2.598887787975e+01       4.028578382299e-09      -4.048322407468e-07       7.366602628907e-08 
 1156       1.256355691787e+03       1.365244301740e+01       9.324494484496e-02      -2.507601571899e+01       4.021688661478e-09      -3.952304413833e-07       6.890192286289e-08 
 1157       1.254183476593e+03       1.365762405438e+01       9.323212839014e-02      -2.416823866650e+01       4.014815617555e-09      -3.854093624262e-07       6.415277688313e-08 
 1158       1.251935787625e+03       1.366748557534e+01       9.321820137456e-02      -2.326599314915e+01       4.007959150125e-09      -3.753828102025e-07       5.941788609962e-08 
 1159       1.249613100846e+03       1.368201582474e+01       9.320315670001e-02      -2.236972848296e+01       4.001119151858e-09      -3.651647443945e-07       5.469653942327e-08 
 1160       1.247215897309e+03       1.370120283978e+01       9.318698724204e-02      -2.147989687921e+01       3.994295508441e-09      -3.547692787151e-07       4.998801688521e-08 
 1161       1.244744663174e+03       1.372503444980e+01       9.316968584993e-02      -2.059695345046e+01       3.987488098508e-09      -3.442106815844e-07       4.529158959572e-08 
 1162       1.242199889713e+03       1.375349827584e+01       9.315124534665e-02      -1.972135621666e+01       3.980696793586e-09      -3.335033768072e-07       4.060651970316e-08 
 1163       1.239582073328e+03       1.378658173000e+01       9.313165852878e-02      -1.885356611120e+01       3.973921458024e-09      -3.226619442525e-07       3.593206035283e-08 
 1164       1.236891715561e+03       1.382427201496e+01       9.311091816651e-02      -1.799404698698e+01       3.967161948934e-09      -3.117011205330e-07       3.126745564572e-08 
 1165       1.234129323107e+03       1.386655612345e+01       9.308901700358e-02      -1.714326562250e+01       3.960418116126e-09      -3.006357996869e-07       2.661194059721e-08 
 1166       1.231295407824e+03       1.391342083768e+01       9.306594775722e-02      -1.630169172790e+01       3.953689802045e-09      -2.894810338599e-07       2.196474109566e-08 
 1167       1.228390486748e+03       1.396485272880e+01       9.304170311813e-02      -1.546979795107e+01       3.946976841704e-09      -2.782520339894e-07       1.732507386104e-08 
 1168       1.225415203844e+03       1.402082981077e+01       9.301627831871e-02      -1.464801179700e+01       3.940279101379e-09      -2.669618173340e-07       1.269234370553e-08 
 1169       1.222370696903e+03       1.408129638856e+01       9.298967887306e-02      -1.383657071506e+01       3.933596595869e-09      -2.556141003233e-07       8.066739454519e-09 
 1170       1.219258235263e+03       1.414618789411e+01       9.296191293375e-02      -1.303566521052e+01       3.926929374037e-09      -2.442102737757e-07       3.448649119508e-09 
 1171       1.216079098503e+03       1.421543920221e+01       9.293298873251e-02      -1.224548676855e+01       3.920277480273e-09      -2.327517440580e-07      -1.161536382382e-09 
 1172       1.212834576469e+03       1.428898462914e+01       9.290291458036e-02      -1.146622785611e+01       3.913640954449e-09      -2.212399331522e-07      -5.763423218021e-09 
 1173       1.209525969296e+03       1.436675793147e+01       9.287169886788e-02      -1.069808192376e+01       3.907019831877e-09      -2.096762787225e-07      -1.035661462788e-08 
 1174       1.206154587432e+03       1.444869230475e+01       9.283935006529e-02      -9.941243407528e+00       3.900414143260e-09      -1.980622341826e-07      -1.494071091561e-08 
 1175       1.202721751659e+03       1.453472038226e+01       9.280587672271e-02      -9.195907730754e+00       3.893823914648e-09      -1.863992687630e-07      -1.951530943764e-08 
