# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   90       2.608215180781e+03       6.625737239321e-01       2.441095726979e-03      -1.817682940552e+01       1.101436182207e-07       4.583689633672e-04      -2.041530507821e-06 
   91       2.640296295437e+03       6.791436913240e-01       2.495814298156e-03      -1.885890711724e+01       1.094431352112e-07       4.527975394176e-04      -2.056653847067e-06 
   92       2.672617194481e+03       6.957010758156e-01       2.551161551398e-03      -1.954647878050e+01       1.087415961652e-07       4.473336066995e-04      -2.069645793805e-06 
   93       2.705169171386e+03       7.122307592930e-01       2.607140263512e-03      -2.023903320645e+01       1.080324418280e-07       4.419502773630e-04      -2.079650629222e-06 
   94       2.737952599127e+03       7.287183340982e-01       2.663753737949e-03      -2.093608400687e+01       1.073185421145e-07       4.366538227296e-04      -2.086635250213e-06 
   95       2.770969357153e+03       7.451494112627e-01       2.721005566814e-03      -2.163714396594e+01       1.066048519305e-07       4.314574786696e-04      -2.090818533624e-06 
   96       2.804220115402e+03       7.615093779579e-01       2.778899549787e-03      -2.234171606888e+01       1.058955642145e-07       4.263717204993e-04      -2.092464734121e-06 
   97       2.837704278110e+03       7.777834009455e-01       2.837439698961e-03      -2.304929365205e+01       1.051939757190e-07       4.214039970930e-04      -2.091886053401e-06 
   98       2.871419927619e+03       7.939564300281e-01       2.896630243687e-03      -2.375936055321e+01       1.045023451751e-07       4.165584579077e-04      -2.089445263728e-06 
   99       2.905363768195e+03       8.100132015003e-01       2.956475635415e-03      -2.447139126166e+01       1.038217436794e-07       4.118356729200e-04      -2.085558385805e-06 
