# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2432       1.032669177273e+02       2.410169205342e+00       0.000000000000e+00      -3.300377869695e+00       7.474742040681e-10       8.574003798503e-08      -2.359438463314e-09 
 2433       1.029366566520e+02       2.409942799744e+00       0.000000000000e+00      -3.228693739739e+00       7.466408830957e-10       8.672043518637e-08      -2.702988174696e-09 
 2434       1.026035653239e+02       2.410165051811e+00       0.000000000000e+00      -3.157955708989e+00       7.458086044405e-10       8.770604438178e-08      -3.050699526287e-09 
 2435       1.022677270989e+02       2.410830063785e+00       0.000000000000e+00      -3.088184504178e+00       7.449773665729e-10       8.869698312143e-08      -3.402278810776e-09 
 2436       1.019292256215e+02       2.411931915801e+00       0.000000000000e+00      -3.019400913899e+00       7.441471678864e-10       8.969336948700e-08      -3.757430828248e-09 
 2437       1.015881448253e+02       2.413464665854e+00       0.000000000000e+00      -2.951625788667e+00       7.433180066974e-10       9.069532209278e-08      -4.115858883089e-09 
 2438       1.012445689325e+02       2.415422349783e+00       0.000000000000e+00      -2.884880040981e+00       7.424898812446e-10       9.170296008672e-08      -4.477264780892e-09 
 2439       1.008985824551e+02       2.417798981244e+00       0.000000000000e+00      -2.819184645383e+00       7.416627896889e-10       9.271640315146e-08      -4.841348825357e-09 
 2440       1.005502701945e+02       2.420588551686e+00       0.000000000000e+00      -2.754560638524e+00       7.408367301130e-10       9.373577150545e-08      -5.207809815191e-09 
 2441       1.001997172424e+02       2.423785030330e+00       0.000000000000e+00      -2.691029119219e+00       7.400117005209e-10       9.476118590399e-08      -5.576345041004e-09 
 2442       9.984700898058e+01       2.427382364142e+00       0.000000000000e+00      -2.628611248513e+00       7.391876988379e-10       9.579276764028e-08      -5.946650282206e-09 
 2443       9.949223108149e+01       2.431374477812e+00       0.000000000000e+00      -2.567328249739e+00       7.383647229099e-10       9.683063854653e-08      -6.318419803894e-09 
 2444       9.913546950851e+01       2.435755273729e+00       0.000000000000e+00      -2.507201408584e+00       7.375427705032e-10       9.787492099500e-08      -6.691346353748e-09 
 2445       9.877681051620e+01       2.440518631958e+00       0.000000000000e+00      -2.448252073145e+00       7.367218393045e-10       9.892573789908e-08      -7.065121158908e-09 
 2446       9.841634065063e+01       2.445658410216e+00       0.000000000000e+00      -2.390501653993e+00       7.359019269198e-10       9.998321271436e-08      -7.439433922868e-09 
 2447       9.805414674967e+01       2.451168443847e+00       0.000000000000e+00      -2.333971624233e+00       7.350830308748e-10       1.010474694397e-07      -7.813972822350e-09 
 2448       9.769031594331e+01       2.457042545804e+00       0.000000000000e+00      -2.278683519567e+00       7.342651486142e-10       1.021186326183e-07      -8.188424504186e-09 
 2449       9.732493565393e+01       2.463274506617e+00       0.000000000000e+00      -2.224658938354e+00       7.334482775013e-10       1.031968273388e-07      -8.562474082197e-09 
 2450       9.695809359663e+01       2.469858094375e+00       0.000000000000e+00      -2.171919541672e+00       7.326324148179e-10       1.042821792363e-07      -8.935805134060e-09 
 2451       9.658987777952e+01       2.476787054701e+00       0.000000000000e+00      -2.120487053378e+00       7.318175577639e-10       1.053748144935e-07      -9.308099698185e-09 
 2452       9.622037650400e+01       2.484055110730e+00       0.000000000000e+00      -2.070383260170e+00       7.310037034568e-10       1.064748598417e-07      -9.679038270582e-09 
 2453       9.584967836511e+01       2.491655963081e+00       0.000000000000e+00      -2.021630011650e+00       7.301908489313e-10       1.075824425620e-07      -1.004829980173e-08 
 2454       9.547787225176e+01       2.499583289838e+00       0.000000000000e+00      -1.974249220380e+00       7.293789911393e-10       1.086976904863e-07      -1.041556169342e-08 
 2455       9.510504615289e+01       2.507830424503e+00       0.000000000000e+00      -1.928258890507e+00       7.285681274459e-10       1.098206325285e-07      -1.078051007723e-08 
 2456       9.473128356726e+01       2.516389387818e+00       0.000000000000e+00      -1.883661177595e+00       7.277582571252e-10       1.109508993047e-07      -1.114287075655e-08 
 2457       9.435666707282e+01       2.525251850121e+00       0.000000000000e+00      -1.840454257697e+00       7.269493798818e-10       1.120880198376e-07      -1.150237853497e-08 
 2458       9.398127951924e+01       2.534409452816e+00       0.000000000000e+00      -1.798636292317e+00       7.261414953552e-10       1.132315207791e-07      -1.185876695731e-08 
 2459       9.360520402821e+01       2.543853808338e+00       0.000000000000e+00      -1.758205428386e+00       7.253346031199e-10       1.143809264051e-07      -1.221176830708e-08 
 2460       9.322852399369e+01       2.553576500127e+00       0.000000000000e+00      -1.719159798252e+00       7.245287026849e-10       1.155357586108e-07      -1.256111360392e-08 
