# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  606       2.264908817385e+03       2.172637272016e+01       7.341115073443e-02       3.096823609583e+01       1.283078666461e-08       4.064956844392e-06      -7.581274812133e-07 
  607       2.255548246268e+03       2.203499593692e+01       7.348368597510e-02       3.064843930148e+01       1.279564511985e-08       4.124674278110e-06      -7.696680473934e-07 
  608       2.246197957230e+03       2.234409022044e+01       7.355502867112e-02       3.029562475959e+01       1.276065869528e-08       4.184677591672e-06      -7.810748145360e-07 
  609       2.236863278368e+03       2.265352598647e+01       7.362519822398e-02       2.990981040105e+01       1.272582580344e-08       4.244960437781e-06      -7.923451055593e-07 
  610       2.227549600773e+03       2.296317201539e+01       7.369421437228e-02       2.949101743859e+01       1.269114460955e-08       4.305516341433e-06      -8.034762269913e-07 
  611       2.218262378779e+03       2.327289544565e+01       7.376209719317e-02       2.903927038429e+01       1.265661302725e-08       4.366338698923e-06      -8.144654689477e-07 
  612       2.209007130207e+03       2.358256176724e+01       7.382886710381e-02       2.855459706702e+01       1.262222871422e-08       4.427420776855e-06      -8.253101051089e-07 
  613       2.199789436606e+03       2.389203481516e+01       7.389454486280e-02       2.803702864999e+01       1.258798906789e-08       4.488755711146e-06      -8.360073926985e-07 
  614       2.190614943497e+03       2.420117676286e+01       7.395915157163e-02       2.748659964818e+01       1.255389122092e-08       4.550336506018e-06      -8.465545724609e-07 
  615       2.181489360619e+03       2.450984811570e+01       7.402270867615e-02       2.690334794587e+01       1.251993203685e-08       4.612156033005e-06      -8.569488686396e-07 
  616       2.172418462171e+03       2.481790770444e+01       7.408523796794e-02       2.628731481412e+01       1.248610810561e-08       4.674207029940e-06      -8.671874889551e-07 
  617       2.163408087055e+03       2.512521267864e+01       7.414676158585e-02       2.563854492826e+01       1.245241573897e-08       4.736482099947e-06      -8.772676245834e-07 
  618       2.154464139124e+03       2.543161850016e+01       7.420730201739e-02       2.495708638534e+01       1.241885096606e-08       4.798973710431e-06      -8.871864501343e-07 
  619       2.145592587418e+03       2.573697893661e+01       7.426688210015e-02       2.424299072169e+01       1.238540952873e-08       4.861674192061e-06      -8.969411236302e-07 
  620       2.136799466416e+03       2.604114605481e+01       7.432552502333e-02       2.349631293034e+01       1.235208687700e-08       4.924575737749e-06      -9.065287864845e-07 
  621       2.128090876273e+03       2.634397021424e+01       7.438325432908e-02       2.271711147856e+01       1.231887816439e-08       4.987670401631e-06      -9.159465634805e-07 
  622       2.119472372430e+03       2.664531119166e+01       7.444009364454e-02       2.190550608949e+01       1.228577952557e-08       5.050949319107e-06      -9.251922243060e-07 
  623       2.110947118220e+03       2.694507185429e+01       7.449606586783e-02       2.106185253800e+01       1.225279198472e-08       5.114400338917e-06      -9.342661937462e-07 
  624       2.102517689467e+03       2.724316526254e+01       7.455119396577e-02       2.018657198410e+01       1.221991772050e-08       5.178010305963e-06      -9.431696119792e-07 
  625       2.094186681260e+03       2.753950360711e+01       7.460550124311e-02       1.928009361470e+01       1.218715879775e-08       5.241765830992e-06      -9.519036799730e-07 
  626       2.085956708009e+03       2.783399820595e+01       7.465901134377e-02       1.834285467896e+01       1.215451716508e-08       5.305653288843e-06      -9.604696600829e-07 
  627       2.077830403497e+03       2.812655950110e+01       7.471174825228e-02       1.737530052372e+01       1.212199465244e-08       5.369658816664e-06      -9.688688766515e-07 
  628       2.069810420939e+03       2.841709705566e+01       7.476373629513e-02       1.637788462886e+01       1.208959296870e-08       5.433768312144e-06      -9.771027166111e-07 
  629       2.061899433032e+03       2.870551955068e+01       7.481500014211e-02       1.535106864263e+01       1.205731369916e-08       5.497967431727e-06      -9.851726300881e-07 
  630       2.054100132013e+03       2.899173478201e+01       7.486556480768e-02       1.429532241709e+01       1.202515830309e-08       5.562241588829e-06      -9.930801310087e-07 
  631       2.046415229714e+03       2.927564965728e+01       7.491545565232e-02       1.321112404347e+01       1.199312811121e-08       5.626575952039e-06      -1.000826797708e-06 
  632       2.038847457612e+03       2.955717019278e+01       7.496469838393e-02       1.209895988751e+01       1.196122432322e-08       5.690955443326e-06      -1.008414273540e-06 
  633       2.031399566890e+03       2.983620151034e+01       7.501331905914e-02       1.095932462490e+01       1.192944800516e-08       5.755364736236e-06      -1.015844267490e-06 
  634       2.024074328485e+03       3.011264783427e+01       7.506134408471e-02       9.792721276578e+00       1.189780008697e-08       5.819788254078e-06      -1.023118554791e-06 
  635       2.016874533148e+03       3.038641248822e+01       7.510880021887e-02       8.599661244187e+00       1.186628135981e-08       5.884210168116e-06      -1.030238977539e-06 
  636       2.009802991498e+03       3.065739789214e+01       7.515571457268e-02       7.380664345396e+00       1.183489247352e-08       5.948614395745e-06      -1.037207445310e-06 
  637       2.002862534071e+03       3.092550555917e+01       7.520211461141e-02       6.136258849298e+00       1.180363393397e-08       6.012984598668e-06      -1.044025935787e-06 
  638       1.996056011383e+03       3.119063609250e+01       7.524802815589e-02       4.866981511786e+00       1.177250610043e-08       6.077304181063e-06      -1.050696495375e-06 
  639       1.989386293978e+03       3.145268918234e+01       7.529348338386e-02       3.573377610924e+00       1.174150918292e-08       6.141556287750e-06      -1.057221239834e-06 
  640       1.982856272486e+03       3.171156360277e+01       7.533850883134e-02       2.256000982330e+00       1.171064323949e-08       6.205723802349e-06      -1.063602354902e-06 
  641       1.976468857678e+03       3.196715720870e+01       7.538313339401e-02       9.154140545465e-01       1.167990817358e-08       6.269789345432e-06      -1.069842096922e-06 
