# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_idm_dr/k2           5:-T_b/k2                6:-T_g/k2                7:-T_ur/k2               8:-T_idr/k2              9:-T_ncdm/k2            10:-T_tot/k2          
       2.843708703963e-05       2.425048810249e+05       0.000000000000e+00       0.000000000000e+00       2.425048142077e+05       3.233288630097e+05       3.233275701096e+05       0.000000000000e+00       0.000000000000e+00       2.448472805085e+05 
       2.876637298829e-05       2.425048691863e+05       0.000000000000e+00       0.000000000000e+00       2.425048008127e+05       3.233285915104e+05       3.233272684959e+05       0.000000000000e+00       0.000000000000e+00       2.448472605372e+05 
       2.909947188853e-05       2.425048570722e+05       0.000000000000e+00       0.000000000000e+00       2.425047871059e+05       3.233283136875e+05       3.233269598574e+05       0.000000000000e+00       0.000000000000e+00       2.448472401010e+05 
       2.943642789225e-05       2.425048446760e+05       0.000000000000e+00       0.000000000000e+00       2.425047730800e+05       3.233280293937e+05       3.233266440302e+05       0.000000000000e+00       0.000000000000e+00       2.448472191889e+05 
       2.977728566261e-05       2.425048319911e+05       0.000000000000e+00       0.000000000000e+00       2.425047587274e+05       3.233277384781e+05       3.233263208468e+05       0.000000000000e+00       0.000000000000e+00       2.448471977897e+05 
       3.012209037992e-05       2.425048190108e+05       0.000000000000e+00       0.000000000000e+00       2.425047440406e+05       3.233274407865e+05       3.233259901358e+05       0.000000000000e+00       0.000000000000e+00       2.448471758922e+05 
       3.047088774769e-05       2.425048057282e+05       0.000000000000e+00       0.000000000000e+00       2.425047290116e+05       3.233271361611e+05       3.233256517219e+05       0.000000000000e+00       0.000000000000e+00       2.448471534846e+05 
       3.082372399862e-05       2.425047921364e+05       0.000000000000e+00       0.000000000000e+00       2.425047136329e+05       3.233268244406e+05       3.233253054261e+05       0.000000000000e+00       0.000000000000e+00       2.448471305554e+05 
       3.118064590078e-05       2.425047786644e+05       0.000000000000e+00       0.000000000000e+00       2.425046983323e+05       3.233265060412e+05       3.233249516461e+05       0.000000000000e+00       0.000000000000e+00       2.448471075326e+05 
       3.154170076378e-05       2.425047631840e+05       0.000000000000e+00       0.000000000000e+00       2.425046809808e+05       3.233261779661e+05       3.233245873664e+05       0.000000000000e+00       0.000000000000e+00       2.448470822626e+05 
